title,year,rating,genre,sinopse,sinopse_no_stopwords,cluster
Um Sonho de Liberdade,1994,9.3,Drama,"dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.","dois homens presos reúnem longo vários anos, encontrando consolo eventual redenção através atos decência comum.",1
O Poderoso Chefão,1972,9.2,Policial,o patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,patriarca idoso dinastia crime organizado transfere controle império clandestino filho relutante.,3
Batman: O Cavaleiro das Trevas,2008,9.1,Ação,"agora com a ajuda do tenente jim gordon e do promotor público harvey dent, batman tem tudo para banir o crime de gotham city de uma vez por todas. mas em breve, os três serão vítimas do coringa, que pretende lançar gotham em uma anarquia.","agora ajuda tenente jim gordon promotor público harvey dent, batman tudo banir crime gotham city vez todas. breve, três vítimas coringa, pretende lançar gotham anarquia.",2
O Poderoso Chefão: Parte II,1974,9.0,Policial,"o início da vida e da carreira de vito corleone na década de 1920 em nova york, enquanto seu filho, michael, expande e fortalece seu controle sobre o sindicato do crime.","início vida carreira vito corleone década 1920 nova york, enquanto filho, michael, expande fortalece controle sobre sindicato crime.",3
12 Homens e uma Sentença,1957,9.0,Policial,"o julgamento de um assassinato em nova iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.","julgamento assassinato nova iorque frustrado único membro, cujo ceticismo força júri considerar cuidadosamente evidências antes dar veredito.",3
O Senhor dos Anéis: O Retorno do Rei,2003,9.0,Aventura,gandalf e aragorn lideram o mundo dos homens contra o exército de sauron para desviar o olhar de frodo e sam quando eles se aproximam á montanha da perdição com o um anel.,gandalf aragorn lideram mundo homens contra exército sauron desviar olhar frodo sam aproximam á montanha perdição anel.,0
A Lista de Schindler,1993,9.0,Biografia,"na polônia ocupada pelos alemães durante a segunda guerra mundial, o industrial oskar schindler começa a se preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.","polônia ocupada alemães durante segunda guerra mundial, industrial oskar schindler começa preocupar trabalhadores judeus testemunhar perseguição nazistas.",0
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,Aventura,um manso hobbit do condado e oito companheiros partem em uma jornada para destruir o poderoso um anel e salvar a terra-média das trevas.,manso hobbit condado oito companheiros partem jornada destruir poderoso anel salvar terra-média trevas.,0
Pulp Fiction: Tempo de Violência,1994,8.8,Policial,"as vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.","vidas dois assassinos máfia, boxeador, gângster esposa, par bandidos entrelaçam quatro histórias violência redenção.",3
Três Homens em Conflito,1966,8.8,Aventura,um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,impostor junta dois homens encontrar fortuna remoto cemitério.,0
